replicate	papers_combined	fraction_labels_with_shared_marker	mean_shared_markers
590	3	0.40540540540540543	0.5675675675675675
590	4	0.24324324324324326	0.2972972972972973
590	5	0.21621621621621623	0.24324324324324326
590	6	0.13513513513513514	0.13513513513513514
590	7	0.10810810810810811	0.10810810810810811
590	8	0.05405405405405406	0.05405405405405406
590	9	0.05405405405405406	0.05405405405405406
590	10	0.05405405405405406	0.05405405405405406
591	1	1.0	4.5675675675675675
591	2	0.6216216216216216	0.8918918918918919
591	3	0.2702702702702703	0.32432432432432434
591	4	0.16216216216216217	0.1891891891891892
591	5	0.10810810810810811	0.13513513513513514
591	6	0.05405405405405406	0.05405405405405406
591	7	0.02702702702702703	0.02702702702702703
591	8	0.0	0.0
591	9	0.0	0.0
591	10	0.0	0.0
592	1	1.0	4.405405405405405
592	2	0.5135135135135135	0.7837837837837838
592	3	0.24324324324324326	0.32432432432432434
