replicate	comparison	metric	estimate
54	different_identifier_matched_control	marker_jaccard	0.0009240591397849463
55	same_label_same_identifier	any_shared_marker	0.4314516129032258
55	same_label_no_accepted_identifier	any_shared_marker	0.49193548387096775
55	same_identifier_different_label	any_shared_marker	0.4435483870967742
55	different_identifier_matched_control	any_shared_marker	0.016129032258064516
55	same_label_same_identifier	marker_jaccard	0.09803663106135517
55	same_label_no_accepted_identifier	marker_jaccard	0.1253694923721376
55	same_identifier_different_label	marker_jaccard	0.07631698268261361
55	different_identifier_matched_control	marker_jaccard	0.0031327543424317615
56	same_label_same_identifier	any_shared_marker	0.4879032258064516
56	same_label_no_accepted_identifier	any_shared_marker	0.5040322580645161
56	same_identifier_different_label	any_shared_marker	0.3951612903225806
56	different_identifier_matched_control	any_shared_marker	0.004032258064516129
56	same_label_same_identifier	marker_jaccard	0.12238284788688014
56	same_label_no_accepted_identifier	marker_jaccard	0.15152614531159517
56	same_identifier_different_label	marker_jaccard	0.07989959518659709
56	different_identifier_matched_control	marker_jaccard	0.0008064516129032258
57	same_label_same_identifier	any_shared_marker	0.5080645161290323
57	same_label_no_accepted_identifier	any_shared_marker	0.5766129032258065
57	same_identifier_different_label	any_shared_marker	0.4435483870967742
57	different_identifier_matched_control	any_shared_marker	0.008064516129032258
