profile_i	profile_j	profile_id_i	profile_id_j	label_i	label_j	cl_id_i	cl_id_j	cl_label_i	cl_label_j	marker_jaccard	ontology_similarity	ontology_common_id	ontology_graph_distance	label_similarity	same_paper
10	15	2449	3509	ACTIVATED MEMORY CELL	CXCL9-POSITIVE	CL:0000910	CL:0000235	cytotoxic T cell	macrophage	0.0	0.125	CL:0000842	7	0.0	False
10	16	2449	3819	ACTIVATED MEMORY CELL	CD8T_GZMB	CL:0000910	CL:0000910	cytotoxic T cell	cytotoxic T cell	0.3333333333333333	1.0	CL:0000910	0	0.0	False
10	17	2449	3856	ACTIVATED MEMORY CELL	DCS	CL:0000910	CL:0000841	cytotoxic T cell	mature conventional dendritic cell	0.0	0.1111111111111111	CL:0000738	8	0.0	False
11	12	2737	3111	NEUTROPHIL	MONOCYTE	CL:0001064	CL:0002057	malignant cell	CD14-positive, CD16-negative classical monocyte	0.0	0.0	CL:0000000	8	0.0	False
11	13	2737	3291	NEUTROPHIL	MONOCYTE	CL:0001064	CL:0002057	malignant cell	CD14-positive, CD16-negative classical monocyte	0.0	0.0	CL:0000000	8	0.0	False
11	14	2737	3472	NEUTROPHIL	CD4.9	CL:0001064	CL:0011025	malignant cell	exhausted T cell	0.0	0.0	CL:0000000	11	0.0	False
11	15	2737	3509	NEUTROPHIL	CXCL9-POSITIVE	CL:0001064	CL:0000235	malignant cell	macrophage	0.0	0.0	CL:0000000	7	0.0	False
11	16	2737	3819	NEUTROPHIL	CD8T_GZMB	CL:0001064	CL:0000910	malignant cell	cytotoxic T cell	0.0	0.0	CL:0000000	11	0.0	False
11	17	2737	3856	NEUTROPHIL	DCS	CL:0001064	CL:0000841	malignant cell	mature conventional dendritic cell	0.0	0.0	CL:0000000	7	0.0	False
12	13	3111	3291	MONOCYTE	MONOCYTE	CL:0002057	CL:0002057	CD14-positive, CD16-negative classical monocyte	CD14-positive, CD16-negative classical monocyte	0.5	1.0	CL:0002057	0	1.0	False
12	14	3111	3472	MONOCYTE	CD4.9	CL:0002057	CL:0011025	CD14-positive, CD16-negative classical monocyte	exhausted T cell	0.0	0.1	CL:0000842	9	0.0	False
12	15	3111	3509	MONOCYTE	CXCL9-POSITIVE	CL:0002057	CL:0000235	CD14-positive, CD16-negative classical monocyte	macrophage	0.0	0.2	CL:0000766	4	0.0	False
12	16	3111	3819	MONOCYTE	CD8T_GZMB	CL:0002057	CL:0000910	CD14-positive, CD16-negative classical monocyte	cytotoxic T cell	0.0	0.1	CL:0000842	9	0.0	False
12	17	3111	3856	MONOCYTE	DCS	CL:0002057	CL:0000841	CD14-positive, CD16-negative classical monocyte	mature conventional dendritic cell	0.0	0.2	CL:0000766	4	0.0	False
13	14	3291	3472	MONOCYTE	CD4.9	CL:0002057	CL:0011025	CD14-positive, CD16-negative classical monocyte	exhausted T cell	0.0	0.1	CL:0000842	9	0.0	False
13	15	3291	3509	MONOCYTE	CXCL9-POSITIVE	CL:0002057	CL:0000235	CD14-positive, CD16-negative classical monocyte	macrophage	0.0	0.2	CL:0000766	4	0.0	False
13	16	3291	3819	MONOCYTE	CD8T_GZMB	CL:0002057	CL:0000910	CD14-positive, CD16-negative classical monocyte	cytotoxic T cell	0.0	0.1	CL:0000842	9	0.0	False
